Populatia initiala:
0: 0001001100110001100000
1: 0100101010110001000011
2: 1110101010110101100010
3: 0011110011111110100110
4: 0011101101011111000001
5: 0001001011100000110001
6: 0001011010110000110000
7: 0101101101011011000110
8: 0001011011010101101011
9: 1000111101010100000001
10: 1010101111001011100011
11: 1001110011000010100011
12: 1110000001010001100000
13: 0110110110000000010001
14: 1100010111111110001011
15: 0010011010100110110110
16: 0110101001010111101011
17: 0110100111100101001110
18: 1011100111010001010011
19: 1011010010100111110100
